Abdurhman Bahour,,,,,,,,0,,,,,
Wrap:,TRUE,,,,,,,,,,,,
K(states):,5,,,,,,,,,,,,
Radius:,1,,,,,,,,,,,,
Quiescence:,TRUE,,,,,,,,,,,,
random seed:,1644449108,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,0,,,,,,,,,,,,
Rule:,2.24E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,2,0.992,0.923076923,1.790921729,1.987773371,,randomness at begning ends in repeating patter,,,,,0
1,4,3,0.872,0.846153846,1.941938719,1.987773371,,chaous,,,,,2
2,7,3,0.728,0.769230769,2.101710266,2.075869297,,chaous,,,,,2
3,11,3,0.704,0.692307692,2.090244863,2.038159682,,chaous,,,,,2
4,12,3,0.696,0.615384615,2.09195795,2.038159682,,chaous,,,,,2
5,8,3,0.576,0.538461538,2.048477214,1.987773371,,chaous,,,,,2
6,6,3,0.424,0.461538462,1.771851588,1.88109476,,chaous,,,,,2
7,9,3,0.344,0.384615385,1.420928522,1.546593564,,chaous,,,,,2
8,10,3,0.296,0.307692308,1.323886377,1.352030102,,chaous,,,,,2
9,5,3,0.152,0.230769231,0.766518891,0.991264261,,chaous,,,,,2
10,1,3,0.128,0.153846154,0.674095106,0.773228349,,chaous,,,,,2
11,3,3,0.048,0.076923077,0.277839574,0.391243564,,chaous,,,,,2
12,2,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,1,,,,,,,,,,,,
Rule:,3.23E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.986313785,2.10390991,,chaous,,,,,2
1,11,3,0.968,0.846153846,2.074106967,2.199687795,,chaous,,,,,2
2,9,3,0.888,0.769230769,2.249613253,2.23739741,,chaous,,,,,2
3,8,3,0.768,0.692307692,2.287090324,2.199687795,,chaous,,,,,2
4,1,3,0.744,0.615384615,2.282218179,2.133937566,,chaous,,,,,2
5,2,3,0.696,0.538461538,2.266717662,2.045841641,,chaous,,,,,2
6,7,3,0.552,0.461538462,1.906077603,1.88109476,,chaous,,,,,2
7,6,3,0.4,0.384615385,1.575174432,1.700439718,,chaous,,,,,2
8,12,3,0.392,0.307692308,1.513725718,1.352030102,,chaous,,,,,2
9,5,3,0.248,0.230769231,0.98388403,0.991264261,,chaous,,,,,2
10,10,3,0.2,0.153846154,0.721928095,0.619382195,,chaous,,,,,2
11,4,3,0.08,0.076923077,0.40217919,0.391243564,,chaous,,,,,2
12,3,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
